"","Site","WY","Month","Air","PO4","NO3","pH","Cond","Tur","O2","H2Otemp","TotalColiform","EColi","ppt","cwd","tmx","tmn","PctUrb","PctImp","NDVI","SiteWY"
"13",1,2002,2,-0.3,1,0.25,6,40.2,0.533333333,11.57333333,4.5,3.246490992,0.693147181,139.5,0,7.19,-2.2,2,9,0.222,"1 2002"
"14",1,2002,3,2.6,0.05,0.04,6.966666667,34.63333333,0.55,11.78,4.666666667,4.893352133,2.493205453,248.7,0,15.7,2.15,2,9,0.222,"1 2002"
"15",1,2002,4,1.8,0.066666667,0.003333333,7.466666667,39.2,0.93,12.16666667,7.5,5.699439725,2.388762789,67.7,0,16.98,2.51,2,9,0.222,"1 2002"
"16",1,2002,5,19.7,1,1,7.8,36.9,0.133333333,10.85,8.583333333,3.430756184,0,60.1,0,21.02,4.36,2,9,0.222,"1 2002"
"17",1,2002,6,17.1,0.236666667,0.013333333,7.2,36.63333333,0.35,9.67,11.48333333,4.942356453,0,0.1,109.1,27.57,9.67,2,9,0.222,"1 2002"
"18",1,2002,7,21.5,0.07,0.02,7.633333333,27.1,0.183333333,9.52,14.85,5.480638923,2.493205453,0.1,187.9,31.38,12.18,2,9,0.222,"1 2002"
"19",1,2002,8,22.8,0.006666667,0.176666667,7.5,31.33333333,0.166666667,8.733333333,15.78333333,7.791357516,4.988389685,0.2,161.6,30.06,10.47,2,9,0.222,"1 2002"
"20",1,2002,9,11.9,0.126666667,0.016666667,7.466666667,32.23333333,0.44,10.25,13.125,6.646520377,2.379546134,0.5,122.2,27.77,8.76,2,9,0.222,"1 2002"
"21",1,2002,10,11.5,0.053333333,0.043333333,7.366666667,26.3,0.583333333,9.06,13.75,7.253894921,1.410986974,47.3,33.2,23.36,6.88,2,9,0.222,"1 2002"
"22",1,2002,11,5.8,1.303333333,0.25,7.266666667,23.76666667,0.35,10.02666667,9.566666667,4.776599302,1.481604541,288.8,0,12.1,2.73,2,9,0.222,"1 2002"
"23",1,2002,12,1.4,0.47,0.04,7.233333333,38.1,0.483333333,12.63,3.933333333,4.563305982,2.917770732,471.7,0,5.53,-0.68,2,9,0.222,"1 2002"
"24",1,2003,1,0.4,0.256666667,0.02,7.133333333,34.6,0.266666667,16.14,4.7,2.595254707,3.058707073,132.2,0,6.5,-2.76,2,9,0.255,"1 2003"
"25",1,2003,2,2.7,0.003333333,0.003333333,7.333333333,40.1,0.59,12.31333333,2.8,3.966511191,2.128231706,96.6,0,12.17,-0.35,2,9,0.255,"1 2003"
"26",1,2003,3,10.8,0.03,0.25,6.466666667,28.66666667,0.153333333,11.74,6.783333333,5.637998734,5.256453162,184.1,0,12.94,-0.78,2,9,0.255,"1 2003"
"27",1,2003,4,5.5,0.01,0.043333333,6.566666667,24.13333333,0.633333333,19.66,6.35,3.08190997,1.410986974,298.3,0,10.94,0.05,2,9,0.255,"1 2003"
"28",1,2003,5,15.5,0.266666667,0.033333333,6.9,50.63333333,0.683333333,9.14,11.96666667,6.361993085,1.131402111,82.3,0,20.76,5.22,2,9,0.255,"1 2003"
"29",1,2003,6,18.3,0.04,0.276666667,6.633333333,35.73333333,0.29,8.886666667,11.26666667,7.791357516,3.072693315,0.5,87.2,27.43,9.66,2,9,0.255,"1 2003"
"30",1,2003,7,22,0.103333333,0.073333333,6.633333333,34.9,0.225,9.266666667,13.32666667,7.020994675,3.126760536,0,189.6,31.92,12.77,2,9,0.255,"1 2003"
"31",1,2003,8,16.7,0.196666667,0.013333333,5.866666667,40.5,0.166666667,8.823333333,13.95,6.248429647,3.000719815,42.3,117.9,28.49,10.85,2,9,0.255,"1 2003"
"32",1,2003,9,8.7,0.71,0.036666667,6.3,29.73333333,0.016666667,9.703333333,11,7.791357516,3.856510295,3,122.6,29.13,10.08,2,9,0.255,"1 2003"
"33",1,2003,10,15.9,0.206666667,0.086666667,6.533333333,25.73333333,0.85,13.7,12.33333333,7.791357516,2.827313622,0.3,75.8,21.13,3.89,2,9,0.255,"1 2003"
"34",1,2003,11,1.4,0.086666667,0.076666667,7.566666667,45.36666667,0.316666667,12.96,5.366666667,5.051137237,1.098612289,234,0,14.7,1.91,2,9,0.255,"1 2003"
"35",1,2003,12,4.1,1.353333333,0.066666667,7.4,42.83333333,0.333333333,10.55,4.9,4.670021158,2.778819272,554.5,0,6.68,-0.43,2,9,0.255,"1 2003"
"36",1,2004,1,1.8,0.136666667,0.06,6.2,30,1.966666667,11.42666667,4.566666667,6.305362462,3.314186005,163.9,0,11.74,1.88,2,9,0.293,"1 2004"
"37",1,2004,2,-2.4,0,0,5.7,10,2.3,10.98,6.266666667,3.981549068,3.08190997,339.8,0,10.32,-1.45,2,9,0.293,"1 2004"
"38",1,2004,3,14.3,0.013333333,0.006666667,6.433333333,30,0.3,9.526666667,6.766666667,3.487375078,2.862200881,55.2,0,14,0.91,2,9,0.293,"1 2004"
"39",1,2004,4,9.6,0.033333333,0,6.433333333,39.8,0.125,10.62333333,7.416666667,5.346154696,1.840549633,48.9,0,18.4,3.52,2,9,0.293,"1 2004"
"40",1,2004,5,10.9,0.013333333,0,6.366666667,39.36666667,0.35,10.52333333,8.066666667,6.887960652,2.140066163,27.1,31.5,21.46,5.61,2,9,0.293,"1 2004"
"41",1,2004,6,16.1,0.036666667,0.003333333,5.8,31.8,0.2,10.37,11.81666667,7.020994675,3.430756184,2.6,167.4,26.76,9.53,2,9,0.293,"1 2004"
"42",1,2004,7,20.4,0,0,5.3,31.1,0,9.32,13.45,6.191134742,3.265759411,0.6,184.7,30.14,11.65,2,9,0.293,"1 2004"
"43",1,2004,8,20.9,0.016666667,0.056666667,6.833333333,37.16666667,0.06,8.853333333,15.43333333,6.588926478,5.386328244,0.3,161.8,29.89,10.88,2,9,0.293,"1 2004"
"44",1,2004,9,19.5,0.003333333,0.033333333,6.633333333,32.76666667,0.283333333,8.69,14.55,4.014579594,2.990719732,9.7,110.9,26.65,8.03,2,9,0.293,"1 2004"
"45",1,2004,10,6.1,0.01,0.266666667,5.766666667,38.33333333,2.566666667,9.866666667,10.01666667,7.791357516,6.017619505,11.9,69.5,24.66,6.71,2,9,0.293,"1 2004"
"46",1,2004,11,4.9,0.09,0.12,6.666666667,40.06666667,0.23,11.15,7.566666667,5.473110657,1.987874348,123.3,0,9.13,-0.5,2,9,0.293,"1 2004"
"47",1,2004,12,1.2,0.26,0.04,6.366666667,22,0.3,11.28333333,4.283333333,3.594568775,2.990719732,484,0,5.93,-0.11,2,9,0.293,"1 2004"
"48",1,2005,1,3,0.006666667,0,6.5,42.2,0.916666667,16.33,4.933333333,4.398146017,0.693147181,267.7,0,7.15,-1.61,2,9,0.276,"1 2005"
"49",1,2005,2,5.9,0,0,6.266666667,38.46666667,1.683333333,11.95333333,5.516666667,4.232656178,4.593097605,145.7,0,7.9,-1.17,2,9,0.276,"1 2005"
"50",1,2005,3,11.5,0.006666667,0.013333333,6.166666667,38.13333333,0.433333333,14.13666667,5.133333333,1.131402111,0.693147181,328.7,0,18.74,3.7,2,9,0.276,"1 2005"
"51",1,2005,4,4.6,0.013333333,0,6.72,36.46666667,0.283333333,13.68,5.133333333,3.970291914,2.917770732,110.3,0,14.92,1,2,9,0.276,"1 2005"
"52",1,2005,5,9.7,0.05,0.006666667,5.566666667,29.1,5.066666667,15.56333333,8.466666667,4.96284463,2.272125886,245.6,0,18.8,5.58,2,9,0.276,"1 2005"
"53",1,2005,6,18.6,0.006666667,0.006666667,6.733333333,34.2,0.45,10.16,10.2,4.788324729,2.602689685,71.7,0,22.28,6.21,2,9,0.276,"1 2005"
"54",1,2005,7,21,0,0.036666667,7.033333333,30.9,0.183333333,8.816666667,14.33333333,6.195832943,3.514526067,0,128.4,31.69,13.12,2,9,0.276,"1 2005"
"55",1,2005,8,19.2,0,0.016666667,6.233333333,40.1,0,9.03,13.1,4.322807275,2.282382386,0.5,164.1,30.98,11.66,2,9,0.276,"1 2005"
"56",1,2005,9,26,1.363333333,1.763333333,8.133333333,165.8333333,0.283333333,11.01666667,19.66666667,7.253894921,2.778819272,17.4,99.9,24.66,7.08,2,9,0.276,"1 2005"
"57",1,2005,10,10.4,0,0.026666667,5.933333333,34.23333333,0.983333333,9.653333333,12.73333333,4.956531035,3.490428515,215,0,17.96,4.21,2,9,0.276,"1 2005"
"58",1,2005,11,4.2,0.056666667,0.033333333,5.933333333,40.36666667,0.45,11.44333333,7.266666667,4.893352133,2.694627181,114.4,0,10.95,-0.12,2,9,0.276,"1 2005"
"59",1,2005,12,1.1,0,0,5.466666667,38.56666667,0.266666667,17.15,3.75,2.272125886,1.840549633,284,0,8.55,-0.69,2,9,0.276,"1 2005"
"60",1,2006,1,0,0,0.026666667,5.666666667,32.73333333,0.683333333,17.48,4.7,4.097672352,1.648658626,281,0,6.35,-0.96,2,9,0.322,"1 2006"
"61",1,2006,2,7.4,0,0.053333333,6.666666667,73.53333333,2.766666667,13.07666667,7.2,3.540959324,2.00148,213.5,0,10.44,0.98,2,9,0.322,"1 2006"
"62",1,2006,3,11.9,0.076666667,0.116666667,5.166666667,75.13333333,10.96666667,12.88,8.466666667,7.457551585,3.919991175,439.7,0,13.86,1.27,2,9,0.322,"1 2006"
"63",1,2006,4,8.7,0,0,4.8,34.55,0.883333333,10.78333333,6.3,3.490428515,0.693147181,380,0,13.74,2.38,2,9,0.322,"1 2006"
"64",1,2006,5,22,0.02,0.016666667,6.63,33.76666667,1.2,12.38666667,9.9,6.475124503,1.987874348,43.4,0,22.57,6.74,2,9,0.322,"1 2006"
"65",1,2006,6,21.9,0.48,0.486666667,8.17,157.7333333,0.683333333,9.313333333,17.3,7.791357516,3.80666249,1.9,131.3,27.62,10.31,2,9,0.322,"1 2006"
"66",1,2006,7,20.8,0.426666667,0.396666667,7.97,144.2,0.933333333,9.183333333,21.7,7.791357516,4.683056725,0,189.9,31.84,13.01,2,9,0.322,"1 2006"
"67",1,2006,8,15.5,0.003333333,0.003333333,7.546666667,25.46666667,0.166666667,10.20666667,12.23333333,5.824228628,1.481604541,0.8,159.2,29.17,10.01,2,9,0.322,"1 2006"
"68",1,2006,9,18.8,1.323333333,1.213333333,7.1,228,0.55,9.533333333,20.13333333,7.791357516,4.133565275,0.5,121.9,27.41,8.8,2,9,0.322,"1 2006"
"69",1,2006,10,16.9,1.306666667,2.4,7.3,178.4,0.483333333,8.943333333,14.06666667,7.791357516,4.158883083,52.5,23.1,19.56,4.92,2,9,0.322,"1 2006"
"70",1,2006,11,9.5,0.84,0.97,6.7,173.5,0.083333333,12.47666667,9.833333333,6.952919831,3.380994674,168,0,13.38,2.57,2,9,0.322,"1 2006"
"71",1,2006,12,2,0.71,1.07,7.753333333,162.5333333,1.866666667,13.81,4.9,4.785823686,2.939161922,793.4,0,8.02,0.97,2,9,0.322,"1 2006"
"72",1,2007,1,-0.5,0.293333333,0.58,7.166666667,175.6333333,0.803333333,14.05666667,2.4,7.791357516,2.272125886,53.8,0,6.92,-0.18,2,9,0.245,"1 2007"
"73",1,2007,2,8.6,0.13,0.296666667,7,114.1666667,20,11.40333333,8.266666667,5.728800238,4.593097605,427.8,0,11.18,-0.72,2,9,0.245,"1 2007"
"74",1,2007,3,4.8,0,0,7.306666667,38.06666667,0.216666667,15.68,4.6,3.487375078,1.824549292,39.8,0,6.83,-2.06,2,9,0.245,"1 2007"
"75",1,2007,4,11.5,0.176666667,0.533333333,6.966666667,153.2333333,1.033333333,11.26333333,10.3,5.842964539,2.694627181,111,0,17.4,3.02,2,9,0.245,"1 2007"
"76",1,2007,5,14.8,0,0,6.433333333,39.93333333,0.2,13.55333333,9.033333333,4.563305982,1.410986974,46.4,0,23.21,7.33,2,9,0.245,"1 2007"
"77",1,2007,6,25.5,0,0,6.3,38.23333333,0.2,10.84333333,13,6.588926478,0.693147181,16.9,113.1,26.33,10.26,2,9,0.245,"1 2007"
"78",1,2007,7,20.9,0,0,6,44.73333333,0.166666667,9.086666667,12.66666667,7.020994675,4.339901708,1.6,186.2,30.25,13.18,2,9,0.245,"1 2007"
"79",1,2007,8,17.9,0,0,5.433333333,39.5,0.033333333,13.34666667,14.23333333,7.791357516,3.202746443,0.3,164.6,30.27,12.67,2,9,0.245,"1 2007"
"80",1,2007,9,14.3,0.006666667,0,7.766666667,34.93333333,0.083333333,8.78,14.86666667,7.791357516,3.18221184,33.2,85.2,24.05,8.68,2,9,0.245,"1 2007"
"81",1,2007,10,14.2,0,0.803333333,8.77,185.5,0.116666667,6.063333333,13.5,7.791357516,3.139832618,20.4,54.5,19.65,4.07,2,9,0.245,"1 2007"
"82",1,2007,11,11.8,0.07,0.27,7.066666667,160.9666667,0.56,10.51,11.2,7.092823061,3.660994251,184.7,0,10.85,1.74,2,9,0.245,"1 2007"
"83",1,2007,12,16,0.036666667,0.183333333,7.4,135.2333333,3.666666667,11.45666667,11.5,7.791357516,4.356708827,252.7,0,7.76,-0.65,2,9,0.245,"1 2007"
"84",1,2008,1,1,0.116666667,0.23,6.9,89.1,6.9,13.68,4,7.791357516,3.698829785,348.9,0,8.75,-2.36,2,9,0.292,"1 2008"
"85",1,2008,2,9.2,0.11,0.21,7.2,137.3333333,6.266666667,11.93333333,7.6,5.105945474,3.430756184,170.4,0,8.74,0.53,2,9,0.292,"1 2008"
"86",1,2008,3,13.8,0.086666667,0.076666667,7.266666667,104.2666667,3.766666667,11.15,10.6,7.791357516,2.397895273,66,0,17.08,2.44,2,9,0.292,"1 2008"
"87",1,2008,4,10.9,0.006666667,0.006666667,6.373333333,42.36666667,0.1,10.62,4.3,4.141546164,3.78191432,17.4,0,16.28,1.74,2,9,0.292,"1 2008"
"88",1,2008,5,20.5,0.003333333,0.01,6.666666667,43.83333333,0.116666667,13.98666667,9.5,5.367376902,2.397895273,26,0,21.78,6.94,2,9,0.292,"1 2008"
"89",1,2008,6,16.9,0.006666667,0.003333333,6.566666667,39.1,0,13.49666667,9.2,5.008633291,2.282382386,0,155.5,27.21,9.48,2,9,0.292,"1 2008"
"90",1,2008,7,24,1.31,0.156666667,7.53,226.9,0.616666667,6.883333333,24.06666667,7.791357516,5.785362462,0,189.4,31.04,13.45,2,9,0.292,"1 2008"
"91",1,2008,8,22.8,2.203333333,0,7.603333333,268.4333333,0.2,8.103333333,21.2,7.791357516,6.133614939,0.2,167.2,31.17,13.61,2,9,0.292,"1 2008"
"92",1,2008,9,13.3,0.006666667,0.006666667,6.066666667,34.9,0.133333333,13.45333333,13.5,7.791357516,3.000719815,0.4,125.7,28.88,10.73,2,9,0.292,"1 2008"
"93",1,2008,10,22.3,1.256666667,0.46,7.666666667,194.1333333,3.336666667,9.466666667,14,7.791357516,6.825242857,129.1,0,17.19,4.88,2,9,0.292,"1 2008"
"94",1,2008,11,6.9,0,0,6.73,43.3,0.216666667,14.85666667,8.966666667,4.185098925,1.098612289,48.2,0,14.37,3.67,2,9,0.292,"1 2008"
"95",1,2008,12,-2.6,0.01,0,5.866666667,29.36666667,0.016666667,15.90666667,1.633333333,4.252771799,3.529297384,247.4,0,5.32,-1.64,2,9,0.292,"1 2008"
"96",1,2009,1,7.6,0.686666667,0.44,8.063333333,226.4,0.9,13.89666667,3.8,6.191134742,2.674148649,115.6,0,4.67,-1.45,2,9,0.213,"1 2009"
"97",1,2009,2,7.7,0.393333333,0.333333333,7.2,172.9666667,4.9,12.94,6.1,7.092823061,4.185098925,337.2,0,9.5,-1.02,2,9,0.213,"1 2009"
"98",1,2009,3,15.9,0.123333333,0.25,7.763333333,128.7666667,5.4,11.31666667,8.9,6.361993085,2.595254707,211.4,0,13.4,0.55,2,9,0.213,"1 2009"
"99",1,2009,4,2.5,0.013333333,0.01,7,42.63333333,0.016666667,16.34333333,3.3,4.147885329,1.131402111,64.9,0,16.24,2.06,2,9,0.213,"1 2009"
"100",1,2009,5,16.7,0.006666667,0.006666667,7.16,37.16666667,0.75,15.66333333,6.5,5.366910158,0.693147181,167.1,0,23.6,9.05,2,9,0.213,"1 2009"
"101",1,2009,6,25.3,0.846666667,0.733333333,9.186666667,175.2666667,0.25,10.94666667,24.26666667,7.791357516,4.835487941,18.2,23.6,24.16,9.64,2,9,0.213,"1 2009"
"102",1,2009,7,17.5,0.013333333,0.01,7.066666667,48.8,0.183333333,9.43,12,7.791357516,1.648658626,0,188.9,30.92,13.23,2,9,0.213,"1 2009"
"103",1,2009,8,22.5,1.206666667,1.26,7.796666667,214.5333333,0.533333333,8.213333333,20.46666667,7.791357516,3.072693315,1.6,162.8,29.56,12.94,2,9,0.213,"1 2009"
"104",1,2009,9,26.1,2.47,0.73,8.723333333,229.3333333,0.433333333,9.663333333,21.4,7.791357516,5.079539273,4.4,123.1,28.83,12.15,2,9,0.213,"1 2009"
"105",1,2009,10,21.3,1.046666667,0.086666667,7.3,166,0.25,9.59,18.4,7.791357516,6.361993085,80.4,0,21.1,6.43,2,9,0.213,"1 2009"
"106",1,2009,11,4.2,0.003333333,0,6.233333333,35.63333333,0.183333333,11.21333333,7.5,4.272490748,4.127134385,154.6,0,13.86,3.95,2,9,0.213,"1 2009"
"107",1,2009,12,1.6,0.003333333,0,5.7,40.1,0.066666667,15.07333333,5.166666667,5.842964539,2.282382386,196.3,0,6.15,-1.55,2,9,0.213,"1 2009"
"108",1,2010,1,1.8,0.01,0.003333333,7.083333333,46.86666667,0.8,16.27333333,3.866666667,4.96284463,1.410986974,298.9,0,11.28,0.83,2,9,0.297,"1 2010"
"109",1,2010,2,4.1,0,0,7.123333333,49.1,0.566666667,15.06666667,3.4,4.406719247,0.693147181,189,0,8.17,-0.13,2,9,0.297,"1 2010"
"110",1,2010,3,5.9,0.003333333,0.023333333,6.93,48.9,0.316666667,15.06666667,5.2,0.693147181,0,179.2,0,12.13,0.17,2,9,0.297,"1 2010"
"111",1,2010,4,10.7,0,0.003333333,6.823333333,39.13333333,1.3,15.14666667,4.5,3.856510295,1.808288771,239.7,0,12.9,1.21,2,9,0.297,"1 2010"
"112",1,2010,5,14.5,0.043333333,0.076666667,7.543333333,90.16666667,3.133333333,10.73,12.66666667,7.791357516,3.394508394,123.5,0,16.8,3.5,2,9,0.297,"1 2010"
"113",1,2010,6,14.6,0.003333333,0.006666667,6.533333333,39.03333333,0.866666667,10.65,8.1,6.646520377,2.602689685,7.5,19,24.9,9.6,2,9,0.297,"1 2010"
"114",1,2010,7,20.6,0,0.01,6.963333333,38.6,0.22,9.036666667,12.4,6.075805696,2.014903021,0,183.1,30.5,13.1,2,9,0.297,"1 2010"
"115",1,2010,8,20.2,1.596666667,0.31,7.546666667,185.7333333,0.55,8.443333333,20.2,7.791357516,2.862200881,2,154.4,28.6,11.3,2,9,0.297,"1 2010"
"116",1,2010,9,11.9,0.006666667,0,6.803333333,38.33333333,0.476666667,9.833333333,12.1,7.791357516,0,1.2,119.2,27.5,10,2,9,0.297,"1 2010"
"117",1,2010,10,13.6,0.006666667,0.036666667,7.086666667,33.4,0,13.88333333,11.36666667,6.475124503,1.131402111,125,0,18.15,5.24,2,9,0.297,"1 2010"
"118",1,2010,11,1.6,0,0.01,7.286666667,46.5,0.016666667,15.19666667,5.433333333,5.565669173,0,68.4,0,12.91,2.53,2,9,0.297,"1 2010"
"119",1,2010,12,0.6,0.646666667,0.273333333,7.776666667,84.83333333,0.716666667,13.86333333,1.1,7.791357516,2.140066163,237.6,0,7.09,-1.11,2,9,0.297,"1 2010"
"120",1,2011,1,7.8,0.01,0,6.986666667,84,2.9,11.66,6,3.925925911,0.693147181,68.04,0,12.62,1.59,2,9,0.348,"1 2011"
"121",1,2011,2,8.8,0.023333333,0,6.89,70.66666667,36.33333333,12.04666667,8.3,7.791357516,6.952919831,220.38,0,10.51,-0.21,2,9,0.348,"1 2011"
"122",1,2011,3,3.1,0.01,0,5.97,35.06666667,3.726666667,18.24666667,5.933333333,3.80666249,1.824549292,533.14,0,9.42,1.29,2,9,0.348,"1 2011"
"123",1,2011,4,6,0.023333333,0.033333333,6.9,69.66666667,3.533333333,11.63333333,11.8,5.888600912,2.014903021,93.2,0,14.95,2.77,2,9,0.348,"1 2011"
"124",1,2011,5,10.6,0.066666667,0.016666667,7.033333333,35.66666667,0.933333333,11.20333333,5.833333333,3.095577609,1.410986974,99.5,0,17.44,5.09,2,9,0.348,"1 2011"
"125",1,2011,6,21.8,0.263333333,0.026666667,7.52,99.86666667,1.233333333,9.083333333,20.06666667,6.918893023,5.292802186,75.24,0,23.38,10.5,2,9,0.348,"1 2011"
"126",1,2011,7,17.4,0.03,0.033333333,6.23,29.53333333,0.366666667,10.73,9.8,5.414766179,3.540959324,0,0,29.17,14.13,2,9,0.348,"1 2011"
"127",1,2011,8,22,0.21,0.273333333,7.24,164.7666667,1.333333333,8.39,19.5,7.457551585,4.988389685,0,0,30.85,15.44,2,9,0.348,"1 2011"
"128",1,2011,9,16.1,0.01,0.053333333,6.213333333,32.96666667,0.6,9.093333333,13.93333333,5.282187985,1.840549633,1.61,128.4,30.39,14.92,2,9,0.348,"1 2011"
"129",1,2011,10,19.9,1.01,0.366666667,7.456666667,166.9,0.42,9.186666667,16.9,7.791357516,5.117993812,267.51,0,20,7.7,2,9,0.348,"1 2011"
"130",1,2011,11,5,0.39,0.24,7.546666667,165.3,0.606666667,8.036666667,9.8,7.791357516,3.072693315,285.66,0,11.26,1.3,2,9,0.348,"1 2011"
"131",1,2011,12,9.9,0.086666667,0.22,7.413333333,113.1666667,8.41,11.15333333,9.4,7.791357516,4.018183201,549.79,0,7,1.22,2,9,0.348,"1 2011"
"132",1,2012,1,8.2,0.446666667,0.316666667,7.406666667,186.5666667,0.666666667,13.42666667,3.266666667,3.487375078,2.00148,205.99,0,13.14,2.29,2,9,0.339,"1 2012"
"133",1,2012,2,4.14,0.31,0.256666667,7.213333333,162.4666667,9.633333333,11.41666667,6.666666667,5.561834812,3.698829785,66.03,0,12.84,1.35,2,9,0.339,"1 2012"
"134",1,2012,3,10.7,0.06,0.023333333,6.75,91,66,11.77,10.2,7.791357516,7.457551585,479.67,0,11,1.9,2,9,0.339,"1 2012"
"135",1,2012,4,15.7,0.036666667,0.103333333,7.116666667,87.2,9.366666667,10.52333333,13.6,4.097672352,3.903990834,234.17,0,16.65,4.62,2,9,0.339,"1 2012"
"136",1,2012,5,14.1,0.036666667,0.016666667,6.163333333,36.43333333,0.766666667,10.08666667,9.2,2.990719732,2.140066163,12.93,0,22.73,8.93,2,9,0.339,"1 2012"
"137",1,2012,6,18.8,0.613333333,0.183333333,7.926666667,156.3666667,1.05,8.64,20.1,6.918893023,5.430222437,33.25,126.56,26.08,11.48,2,9,0.339,"1 2012"
"138",1,2012,7,20.2,0.026666667,0.02,7.153333333,37.06666667,0.266666667,9.366666667,13.4,4.21508618,1.840549633,1.91,185.3,30.38,14.78,2,9,0.339,"1 2012"
"139",1,2012,8,25.1,1.796666667,0.093333333,7.693333333,175.8,1.266666667,7.49,24.9,7.791357516,4.368181228,0.36,169.4,33.32,17.02,2,9,0.339,"1 2012"
"140",1,2012,9,15,0.006666667,0.036666667,7.123333333,32.33333333,0.106666667,10.80333333,14.4,4.185098925,1.410986974,0,128.4,30.48,14.82,2,9,0.339,"1 2012"
"141",1,2012,10,18.3,0.456666667,0.103333333,7.326666667,136.8666667,0.85,9.47,16.3,7.791357516,3.47506723,118.62,0,21.46,8.65,2,9,0.339,"1 2012"
"142",1,2012,11,12.4,0.366666667,0.326666667,7.413333333,149.3666667,0.706666667,12.09,9.3,6.361993085,2.501435952,69.56,0,12.86,3.31,2,9,0.339,"1 2012"
"143",1,2012,12,-0.02,0.04,0.02,6.386666667,26,0,11.9,2.2,1.648658626,0,6.16,0,12.71,1.31,2,9,0.339,"1 2012"
"144",1,2013,1,3.1,0.103333333,0.226666667,7.46,82.13333333,6.7,13.14333333,3.833333333,4.864452784,2.272125886,39.89,0,11.69,0.4,2,9,0.27,"1 2013"
"145",1,2013,2,3.6,0.023333333,0.033333333,7.03,42.8,0.033333333,11.57333333,3.666666667,1.987874348,0,24.42,0,13.12,0.61,2,9,0.27,"1 2013"
"146",1,2013,3,11.8,0.196666667,0.203333333,7.716666667,118.3,1.1,11.12666667,10.6,3.887730313,2.360854001,104.95,0,16.46,4.19,2,9,0.27,"1 2013"
"147",1,2013,4,14.2,0.393333333,0.24,7.74,108.0666667,0.933333333,10.86,10.3,6.531897516,4.535820108,49.78,0,19.64,6.39,2,9,0.27,"1 2013"
"148",1,2013,5,13.2,0.036666667,0.006666667,6.913333333,44.6,0.383333333,10.00333333,10.1,2.595254707,0.693147181,34.18,29.98,22.22,9.43,2,9,0.27,"1 2013"
"149",1,2013,6,17.7,0.073333333,0.066666667,7.036666667,40.16666667,0.133333333,9.926666667,11.23333333,2.694627181,1.648658626,54.22,120.88,27.39,12.78,2,9,0.27,"1 2013"
"150",1,2013,7,18.8,2.416666667,0.02,8.17,164,0.266666667,8.06,21.4,7.791357516,6.017619505,0,191.5,32.31,17.35,2,9,0.27,"1 2013"
"151",1,2013,8,19.7,0.16,0.02,7.156666667,33.3,0.056666667,8.866666667,17,6.361993085,0,0,162.9,29.79,15.16,2,9,0.27,"1 2013"
"152",1,2013,9,9.8,0.21,0.04,6.856666667,36.66666667,0.566666667,9.65,12.66666667,4.115779843,0,47.46,90.03,25.65,12.64,2,9,0.27,"1 2013"
"153",1,2013,10,18.7,0.746666667,0.243333333,8.69,152.6666667,1.083333333,10.18666667,17.5,7.791357516,3.218875825,87.41,4.03,22.2,9,2,9,0.27,"1 2013"
